id,status,age,activities num,language num,scholarship,secondary_education num,tertiary_education num,honour,major_of_tertiary_education,qualification_of_tertiary_education,study_mode_of_tertiary_education,university_of_tertiary_education,study time,working_exp num,working_exp total duration_months,
25486,invited,21,4,3,0,0,1,Second Upper,Others,Bachelor,Full Time,The Hong Kong University of Science and Technology,45,2,3,
25488,invited,22,1,3,1,1,2,First,Finance,Master,Full Time,The Hong Kong University of Science and Technology,10,4,20,
25489,rejected,22,1,3,1,1,1,Second Upper,Others,Bachelor,Full Time,The Chinese University of Hong Kong,46,1,3,
25490,invited,22,3,3,1,1,2,Second Upper,Others,Bachelor,Full Time,The Hong Kong University of Science and Technology,45,3,12,
25491,invited,21,0,4,1,1,1,Second Upper,Political Science,Bachelor,Full Time,The University of Hong Kong,45,5,20,
25493,invited,24,2,3,0,2,2,Second Upper,Accounting,Bachelor,Full Time,City University of Hong Kong,34,4,25,
25495,invited,22,0,3,0,1,1,Second Upper,Business Administration,Bachelor,Full Time,The University of Nottingham,34,3,7,
25496,invited,21,0,4,1,1,1,First,Business Administration,Bachelor,Full Time,The Hong Kong University of Science and Technology,47,1,3,
25497,invited,23,1,5,0,1,2,Second Upper,Accounting,Bachelor,Full Time,Durham University,33,7,8,
25498,rejected,21,17,3,0,1,1,Second Lower,Others,Bachelor,Full Time,The University of Hong Kong,45,3,8,
25501,rejected,22,2,3,1,0,2,Second Upper,Business Administration,Bachelor,Full Time,The Chinese University of Hong Kong,51,4,13,
25509,invited,23,5,4,1,2,2,First,Marketing,Bachelor,Full Time,University of Technology  Sydney,15,4,24,
25512,invited,22,0,3,0,0,2,Second Upper,Laws,Bachelor,Full Time,The University of Sheffield,34,2,11,
25514,invited,21,6,3,1,1,2,Second Upper,Finance,Bachelor,Full Time,City University of Hong Kong,35,4,12,
25515,invited,22,1,3,0,1,1,Second Upper,Others,Bachelor,Full Time,Lancaster University,33,3,5,
25516,invited,23,1,3,0,1,1,Second Upper,International Business,Bachelor,Full Time,Monash University,33,1,4,
25518,invited,21,4,3,0,1,1,Second Upper,Marketing,Bachelor,Full Time,City University of Hong Kong,47,8,23,
25519,rejected,22,1,3,0,1,1,Second Upper,Economics,Bachelor,Full Time,University of East Anglia (UEA),34,2,14,
25522,invited,22,1,3,3,1,2,First,Accounting,Bachelor,Full Time,The University of Hong Kong,57,5,9,
25526,invited,24,2,3,2,1,2,Second Upper,Finance,Master,Full Time,City University of Hong Kong,11,2,13,
25534,invited,22,3,3,1,1,2,Second Upper,Mechanical Engineering,Bachelor,Full Time,The Hong Kong University of Science and Technology,57,3,37,
25537,invited,21,1,3,0,1,1,Second Upper,Others,Bachelor,Full Time,The Hong Kong Polytechnic University,45,3,11,
25538,invited,23,1,3,1,0,1,First,Others,Bachelor,Full Time,The University of Hong Kong,57,2,6,
25541,invited,24,2,3,1,1,2,Second Upper,Others,Bachelor,Full Time,University of California  San Diego (UCSD),33,2,27,
25542,rejected,21,3,3,0,1,1,Second Upper,Others,Bachelor,Full Time,Others,47,7,37,
25543,invited,21,3,3,2,1,2,Second Upper,Business Operations Management,Bachelor,Full Time,City University of Hong Kong,22,3,23,
25544,rejected,22,0,3,0,1,1,Second Lower,Accounting,Bachelor,Full Time,The Hong Kong Polytechnic University,47,3,14,
25546,invited,22,3,3,2,1,1,Second Upper,Accounting,Bachelor,Full Time,The Hong Kong University of Science and Technology,57,3,16,
25551,rejected,21,1,3,2,1,1,Second Upper,Economics,Bachelor,Full Time,The Chinese University of Hong Kong,47,3,7,
25554,rejected,24,4,3,2,2,3,Second Upper,Others,Associate Degree,Full Time,Others,16,5,72,
25556,invited,22,3,4,0,1,1,Second Upper,Marketing,Bachelor,Full Time,The Hong Kong University of Science and Technology,45,4,14,
