id,status,age,activities num,language num,scholarship,secondary_education num,tertiary_education num,honour,major_of_tertiary_education,qualification_of_tertiary_education,study_mode_of_tertiary_education,university_of_tertiary_education,study time,working_exp num,working_exp total duration_months,
16498,-1,24,3,3,0,1,1,2,22,2,0,51,33,3,55,
16500,1,23,0,2,0,0,2,2,0,3,0,96,12,0,0,
16503,1,24,1,2,0,1,2,2,29,3,0,9,12,4,12,
16505,1,23,2,3,1,1,2,1,22,2,0,96,45,3,11,
16515,1,23,1,2,3,0,2,1,10,3,0,23,12,1,5,
16522,-1,24,0,2,0,1,1,0,22,2,0,96,41,1,0,
16525,-1,27,1,3,0,0,2,1,3,3,0,125,11,1,14,
16528,-1,22,1,4,0,1,1,4,12,2,0,48,37,5,27,
16531,-1,24,2,4,2,1,2,1,8,0,0,13,16,6,43,
16533,-1,24,0,2,0,0,1,4,12,3,0,13,18,1,10,
16534,1,21,3,3,1,1,2,1,15,2,0,67,44,3,9,
16536,-1,24,2,3,1,1,1,0,9,2,0,96,35,1,8,
16540,-1,28,3,2,1,1,2,1,22,2,0,52,47,5,45,
16545,-1,22,3,2,0,1,2,4,10,2,0,83,35,1,38,
16546,1,21,2,3,1,1,1,2,20,2,0,13,40,2,8,
16548,1,24,0,2,0,0,1,4,20,3,0,136,18,0,0,
16550,-1,26,1,2,0,1,1,2,10,2,0,13,29,2,34,
16552,-1,21,2,2,1,2,1,2,1,2,0,13,45,1,2,
16554,-1,23,2,3,0,1,3,4,8,2,0,13,29,2,16,
16555,-1,26,1,3,0,1,3,2,8,6,0,13,32,2,29,
16556,-1,27,4,3,1,1,2,1,6,3,0,33,18,3,37,
16558,-1,22,2,3,1,1,1,2,12,2,0,35,46,3,9,
16560,-1,22,1,3,1,1,1,4,18,2,0,25,44,5,11,
16562,1,25,2,3,2,2,2,2,0,3,0,119,12,3,19,
16563,-1,25,3,2,0,1,1,2,17,2,0,117,25,1,8,
16565,1,-1,1,3,0,1,2,2,17,3,0,96,12,1,5,
16566,1,23,3,2,0,1,1,1,12,2,0,129,25,0,0,
16567,-1,25,1,3,0,1,1,4,3,2,0,50,46,2,33,
16571,-1,25,1,2,0,1,1,3,22,2,0,13,37,1,37,
16572,-1,27,3,2,0,1,1,3,22,2,0,96,41,1,29,
16574,-1,26,0,3,0,1,1,0,8,2,0,70,26,1,12,
16578,-1,28,2,2,1,2,2,1,8,3,0,136,10,1,4,
16583,-1,35,0,2,1,1,1,1,3,2,0,13,35,1,27,
16589,-1,26,2,3,0,0,2,1,8,3,0,102,23,3,26,
16597,1,24,1,2,0,1,1,1,15,2,0,13,28,3,10,
16599,-1,27,1,2,1,1,1,4,15,2,0,96,45,2,29,
16600,-1,24,1,2,0,1,1,4,11,2,0,96,46,3,13,
16601,-1,27,2,3,3,1,2,1,6,2,0,13,47,1,5,
16603,-1,26,2,2,1,0,1,2,22,2,0,96,53,1,6,
16604,-1,28,1,2,1,0,2,1,8,1,0,75,42,4,75,
16607,-1,24,3,3,0,1,1,2,22,2,0,106,32,3,15,
16613,-1,25,0,2,0,0,1,3,32,2,0,96,45,1,5,
16616,-1,23,0,2,1,1,1,1,22,2,0,13,35,1,13,
16617,-1,23,2,2,0,1,1,4,8,2,0,61,25,3,18,
16620,1,22,2,3,0,1,1,2,8,2,0,133,33,2,4,
16623,-1,22,2,3,0,1,2,4,15,2,0,75,17,2,28,
16624,-1,33,0,2,0,0,1,0,28,3,2,96,31,0,0,
16627,-1,27,0,2,0,0,1,4,8,2,0,9,45,5,57,
16630,1,23,0,3,0,2,1,2,22,2,0,0,33,0,0,
16634,-1,23,0,2,0,0,2,2,5,3,0,12,16,3,10,
16636,-1,21,3,2,0,1,2,0,6,2,0,13,48,2,2,
16638,-1,27,3,2,2,1,1,2,3,2,0,96,45,2,26,
16641,-1,25,2,2,1,1,2,1,0,3,0,96,12,2,33,
16644,-1,29,1,2,0,1,1,4,10,2,2,13,56,1,55,
16645,1,24,5,3,0,1,2,2,12,3,0,119,19,7,19,
16648,-1,26,2,2,0,2,1,1,8,2,0,13,18,1,3,
16649,1,23,3,2,0,1,1,1,22,2,0,0,33,4,13,
16650,-1,26,2,2,0,0,1,4,3,2,0,9,37,2,8,
16668,-1,32,1,3,2,1,3,2,21,3,0,42,11,2,60,
16670,-1,28,1,2,1,1,3,0,3,3,0,13,10,3,22,
16674,-1,24,0,3,0,1,1,4,8,2,0,13,45,1,64,
16675,1,23,0,2,0,0,1,2,15,2,0,13,30,1,4,
16678,-1,24,1,2,0,1,1,4,3,2,0,96,45,3,9,
16681,-1,25,2,4,1,1,2,2,12,2,0,13,28,4,47,
16682,-1,27,1,2,1,1,1,2,8,2,0,13,59,1,6,
16686,-1,28,1,2,1,1,1,1,11,2,0,9,45,3,44,
16687,-1,30,0,2,0,1,2,1,3,3,0,13,10,2,56,
16689,-1,27,2,4,1,1,2,1,10,3,0,61,14,5,60,
16693,1,22,2,3,1,1,1,2,3,2,0,27,58,5,21,
16696,-1,24,2,2,1,1,2,4,0,2,0,13,45,2,51,
16699,1,22,0,4,0,1,1,4,32,2,0,11,34,2,3,
16701,-1,22,0,2,0,1,1,2,8,2,0,57,34,1,26,
16707,-1,25,3,2,2,2,1,4,8,2,0,96,46,4,15,
16713,-1,32,1,3,1,1,2,2,3,3,2,112,26,1,14,
16714,-1,24,0,3,0,0,1,4,8,2,0,13,33,0,0,
16715,1,24,3,2,0,1,1,2,15,2,0,9,33,4,38,
16724,1,24,2,2,1,0,1,2,5,2,0,96,47,3,10,
16726,1,22,0,3,1,0,1,2,12,2,0,27,56,5,32,
16733,-1,26,2,4,2,1,1,2,10,2,0,48,58,4,72,
16735,1,23,2,2,0,1,2,0,15,3,0,10,28,3,10,
16736,-1,21,1,3,0,0,1,2,12,2,0,13,45,6,58,
16739,1,24,2,2,2,1,1,2,10,2,0,96,45,2,6,
16743,-1,30,3,2,0,1,1,4,8,2,0,9,47,3,69,
16744,-1,25,3,3,1,1,1,4,10,2,0,13,37,3,13,
16745,-1,26,0,3,1,0,1,2,11,2,0,9,37,1,24,
16749,-1,24,2,2,1,1,1,2,1,2,0,117,32,5,37,
16752,1,22,1,3,3,1,2,2,15,2,0,27,56,4,13,
16755,-1,22,1,5,0,1,1,1,0,2,0,13,45,4,25,
16756,-1,25,1,4,2,1,1,2,8,2,0,92,47,2,10,
16759,1,26,6,2,0,1,2,1,16,2,0,13,46,3,34,
16760,-1,25,0,2,1,0,1,2,22,2,0,9,45,2,24,
16765,-1,30,2,2,0,2,2,1,10,3,0,13,17,3,63,
16766,-1,30,0,2,0,0,1,2,15,2,0,96,46,1,0,
16768,-1,22,2,3,2,1,1,1,10,2,0,13,44,4,8,
16769,-1,32,0,2,0,1,2,2,10,3,0,61,22,0,0,
16770,-1,25,1,3,0,1,1,2,8,2,0,9,45,1,4,
16771,-1,24,0,2,1,1,2,1,8,2,0,13,36,2,12,
16774,1,22,3,3,0,1,1,2,15,2,0,67,46,5,11,
16779,1,23,4,3,0,2,1,2,28,2,0,65,45,3,27,
16780,-1,27,1,4,2,1,1,4,15,2,0,13,35,1,44,
16788,-1,32,1,2,0,0,3,0,3,3,0,96,18,2,84,
